Purpose,대분류,중분류,소분류,Section,테스트 항목,사전조건,테스트 스텝,기대결과
WEB,KOCOWA ID Sign Up,Function Area,Next Button,#NAME?,계정 정보 미입력 시 Next Button 기능 확인,"1. Sign Up Page 진입
2. 유효하지 않은 Email 정보 입력
3. 유효한 Password 입력",Next Button 선택,동작하지 않는다
WEB,KOCOWA ID Sign Up,Function Area,Next Button,#NAME?,Name 미입력 시 Next Button 기능 확인,"1. Sign Up Page 진입
2. 유효한 Email 정보 입력
3. 유효한 Password 입력
4. Name 입력되지 않은 상태",Next Button 선택,동작하지 않는다
WEB,KOCOWA ID Sign Up,Function Area,Next Button,#NAME?,비유효 Email 입력 시 Next Button 기능 확인,"1. Sign Up Page 진입
2. Name 입력
3. 유효하지 않은 Email 정보 입력
4. 유효한 Password 입력",Next Button 선택,동작하지 않는다
WEB,KOCOWA ID Sign Up,Function Area,Next Button,#NAME?,비유효 Passwrod 입력 시 Next Button 기능 확인,"1. Sign Up Page 진입
2. Name 입력
3. 유효한 Email 정보 입력
4. 유효하지 않은 Password 입력",Next Button 선택,동작하지 않는다
WEB,KOCOWA ID Sign Up,Function Area,Next Button,#NAME?,가입 KOCOWA 계정 Password 미일치 시 Next Button 기능 확인,"1. Sign Up Page 진입
2. 가입된 KOCOWA 계정 Email 입력
3. 해당 계정 Password 미일치 입력",Next Button 선택,Already Registered POP UP 출력된다
WEB,KOCOWA ID Sign Up,Function Area,Next Button,#NAME?,Social Account 입력 시 Next Button 기능 확인,"1. Sign Up Page 진입
2. Social Account 정보 입력
3. SNS Linked 상태
4. 해당 계정 Password 미일치 입력",Next Button 선택,SNS LINK POP UP 출력된다
WEB,KOCOWA ID Sign Up,Function Area,Next Button,#NAME?,Next Button 기능 확인,"1. Sign Up Page 진입
2. 유효한 계정 정보 입력",Next Button 선택,Profile Data Input Page 진입된다
WEB,Profile Data Input Page,Gender Area,,#NAME?,Radio Button 선택 시 UI 확인,"1. Sign Up Page 진입
2. KOCOWA Account Data 입력
3. Next Button 선택",Radio Button 선택,선택한 Radio Button 흰색 Check icon 출력된다
WEB,Profile Data Input Page,Gender Area,,#NAME?,Radio Button 선택 시 동작 확인,"1. Sign Up Page 진입
2. KOCOWA Account Data 입력
3. Next Button 선택",Radio Button 선택,선택하지 않은 Radio Button Blank 처리되어 출력된다
WEB,Profile Data Input Page,Birthday Area,,#NAME?,Dropdown Box 확인,"1. Sign Up Page 진입
2. KOCOWA Account Data 입력
3. Next Button 선택",Dropdown Box 출력 확인,Dropdown Box 출력된다
WEB,Profile Data Input Page,Birthday Area,,#NAME?,Default Setting 확인,"1. Sign Up Page 진입
2. KOCOWA Account Data 입력
3. Next Button 선택",Default Setting 적용 확인,Birthday Setting 미적용되어 출력된다
WEB,Profile Data Input Page,Birthday Area,,#NAME?,Dropdown Box 선택 시 UI 확인,"1. Sign Up Page 진입
2. KOCOWA Account Data 입력
3. Next Button 선택",Dropdown Box 선택,위 방향 화살표 형태의 Upward Arrow icon 출력된다
WEB,Profile Data Input Page,Birthday Area,,#NAME?,Dropdown Box 선택 시 동작 확인,"1. Sign Up Page 진입
2. KOCOWA Account Data 입력
3. Next Button 선택",Dropdown Box 선택,Dropdown Menu List 출력된다
WEB,Profile Data Input Page,Birthday Area,Date Subject,#NAME?,Placeholder 확인,"1. Sign Up Page 진입
2. KOCOWA Account Data 입력
3. Next Button 선택",Placeholder 출력 확인,"""DD"" Placeholder 출력된다"
WEB,Profile Data Input Page,Birthday Area,Month Subject,#NAME?,Placeholder 확인,"1. Sign Up Page 진입
2. KOCOWA Account Data 입력
3. Next Button 선택",Placeholder 출력 확인,"""MM"" Placeholder 출력된다"
WEB,Profile Data Input Page,Birthday Area,Year Subject,#NAME?,Placeholder 확인,"1. Sign Up Page 진입
2. KOCOWA Account Data 입력
3. Next Button 선택",Placeholder 출력 확인,"""YYYY"" Placeholder 출력된다"
WEB,Profile Data Input Page,Agreement Area,,#NAME?,Agreement Area 출력 확인,"1. Sign Up Page 진입
2. KOCOWA Account Data 입력
3. Next Button 선택",Agreement Area 출력 확인,체크박스와 Text 있는 agreement Area 출력된다
WEB,Profile Data Input Page,Agreement Area,,#NAME?,Default Setting 확인,"1. Sign Up Page 진입
2. KOCOWA Account Data 입력
3. Next Button 선택",Check Box 확인,Check box 에 Check icon 없다
WEB,Profile Data Input Page,Agreement Area,,#NAME?,Text Default Setting 확인,"1. Sign Up Page 진입
2. KOCOWA Account Data 입력
3. Next Button 선택",text 확인,text 회색으로 비활성화되어 출력된다
WEB,Profile Data Input Page,Agreement Area,,#NAME?,Check Box 선택 시 UI 확인,"1. Sign Up Page 진입
2. KOCOWA Account Data 입력
3. Next Button 선택",Check Box 선택,선택한 Check Box 흰색 Check icon 출력된다
WEB,Profile Data Input Page,Agreement Area,,#NAME?,Check Box 선택 시 text UI 확인,"1. Sign Up Page 진입
2. KOCOWA Account Data 입력
3. Next Button 선택",Check Box 선택,Text 흰색으로 활성화되어 출력된다
WEB,Profile Data Input Page,Agreement Area,,#NAME?,Text 출력 확인,"1. Sign Up Page 진입
2. KOCOWA Account Data 입력
3. Next Button 선택",Text 출력 확인,"""The service is only available for those aged 18 and above, and I agree to the terms of service for KOCOWA+"" text 출력된다"
WEB,Profile Data Input Page,Confirm Button,,#NAME?,Agreement 미선택 시 Confirm Button UI 확인,"1. Sign Up Page 진입
2. KOCOWA Account Data 입력
3. Next Button 선택
4. Gender 선택
5. Birthday 입력
6. Agreement 미선택",Confirm Button 출력 확인,Confirm Button Dimmed 처리되어 출력된다
WEB,Profile Data Input Page,Confirm Button,,#NAME?,Gender 미선택 시 Confirm Button UI 확인,"1. Sign Up Page 진입
2. KOCOWA Account Data 입력
3. Next Button 선택
4. Gender 미선택
5. Birthday 입력
6. Agreement 선택",Confirm Button 출력 확인,Confirm Button Dimmed 처리되어 출력된다
WEB,Profile Data Input Page,Confirm Button,,#NAME?,Birthdate 미선택 시 Confirm Button UI 확인,"1. Sign Up Page 진입
2. KOCOWA Account Data 입력
3. Next Button 선택
4. Gender 선택
5. Birthday 미입력
6. Agreement 선택",Confirm Button 출력 확인,Confirm Button Dimmed 처리되어 출력된다
WEB,Profile Data Input Page,Confirm Button,,#NAME?,Under 18 Birthdate Profile Data 입력 시 Confirm Button 기능 확인,"1. Sign Up Page 진입
2. KOCOWA Account Data 입력
3. Next Button 선택
4. Under 18 Birthday 값 입력",Confirm Button 선택,동작하지 않는다
WEB,Profile Data Input Page,Confirm Button,,#NAME?,Under 18 Birthdate Profile Data 입력 시 Error text 출력 확인,"1. Sign Up Page 진입
2. KOCOWA Account Data 입력
3. Next Button 선택
4. Under 18 Birthday 값 입력",Confirm Button 선택,"""The service is only available for those aged 18 and above.""
text 출력된다"
WEB,Profile Data Input Page,Confirm Button,,#NAME?,Dimmed Confirm Button 기능 확인,"1. Sign Up Page 진입
2. KOCOWA Account Data 입력
3. Next Button 선택
4. Profile Data 입력 완료되지 않은 상태",Confirm Button 선택,동작하지 않는다
WEB,Profile Data Input Page,Confirm Button,,#NAME?,Confirm Button 기능 확인,"1. Sign Up Page 진입
2. KOCOWA Account Data 입력
3. Next Button 선택
4. 유효한 Profile Data 입력",Confirm Button 선택,Email Verification Page 이동한다
WEB,Profile Data Input Page,Confirm Button,,#NAME?,Account Profile Data 적용 확인,"1. Sign Up Page 진입
2. KOCOWA Account Data 입력
3. Next Button 선택
4. 유효한 Profile Data 입력
5. Confirm Button 선택
6. Account Page 진입",Profile Data 확인,User Set Profile Data 적용된다
WEB,Email Verification Page,Header Area,KOCOWA logo,,KOCOWA logo image 확인,"1. Sign Up Page 진입
2. Profile Data Input Page 진입
3. 유효한 Profile Data 입력
4. Confirm button 선택",KOCOWA logo image 출력 확인,KOCOWA logo image 출력된다
WEB,Email Verification Page,Header Area,KOCOWA logo,,KOCOWA logo image 기능 확인,"1. Sign Up Page 진입
2. Profile Data Input Page 진입
3. 유효한 Profile Data 입력
4. Confirm button 선택",KOCOWA logo image 선택,Multi-profile Main page 진입한다
WEB,Email Verification Page,Header Area,Edit Profile,,Edit Profile button 확인,"1. Sign Up Page 진입
2. Profile Data Input Page 진입
3. 유효한 Profile Data 입력
4. Confirm button 선택",Edit Profile button 출력 확인,Edit Profile button 출력된다
WEB,Email Verification Page,Header Area,Edit Profile,,Edit Profile button stringset 확인,"1. Sign Up Page 진입
2. Profile Data Input Page 진입
3. 유효한 Profile Data 입력
4. Confirm button 선택",Edit Profile button 출력 확인,"Edit Profile
text 출력된다"
WEB,Email Verification Page,Header Area,Edit Profile,,Edit Profile button 출력 여부 확인,"1. Sign Up Page 진입
2. Profile Data Input Page 진입
3. 유효한 Profile Data 입력
4. Confirm button 선택",Edit Profile button 출력 여부 확인,Edit Profile button 출력되지 않는다
WEB,Email Verification Page,Header Area,Edit Profile,,해상도 320 이하일 시 Edit Profile button 출력 여부 확인,"1. Sign Up Page 진입
2. Profile Data Input Page 진입
3. 유효한 Profile Data 입력
4. Confirm button 선택
5. 해상도 320이하인 상태",Edit Profile button 출력 확인,Edit Profile button 출력되지 않는다
WEB,Email Verification Page,Header Area,Sign Out,,Sign Out button 확인,"1. Sign Up Page 진입
2. Profile Data Input Page 진입
3. 유효한 Profile Data 입력
4. Confirm button 선택",Sign Out button 출력 확인,Sign Out button 출력된다
WEB,Email Verification Page,Header Area,Sign Out,,Sign Out button stringset 확인,"1. Sign Up Page 진입
2. Profile Data Input Page 진입
3. 유효한 Profile Data 입력
4. Confirm button 선택",Sign Out button 출력 확인,"Sign Out
text 출력된다"
WEB,Email Verification Page,Header Area,Sign Out,,Sign Out button 기능 확인,"1. Sign Up Page 진입
2. Profile Data Input Page 진입
3. 유효한 Profile Data 입력
4. Confirm button 선택",Sign Out button 선택,Sign Out 진행된다
WEB,Email Verification Page,Top Area,,,Rectangle 확인,"1. Sign Up Page 진입
2. Profile Data Input Page 진입
3. 유효한 Profile Data 입력
4. Confirm button 선택",Rectangle 출력 확인,Grey Colored Rectangle 출력된다
WEB,Email Verification Page,Top Area,,,해상도 768 이하일 시 Grey Rectangle 출력 여부 확인,"1. Sign Up Page 진입
2. Profile Data Input Page 진입
3. 유효한 Profile Data 입력
4. Confirm button 선택
5. 해상도 768이하인 상태",Rectangle 출력 확인,Grey Colored Rectangle 출력되지 않는다
WEB,Email Verification Page,Top Area,,,Message icon 확인,"1. Sign Up Page 진입
2. Profile Data Input Page 진입
3. 유효한 Profile Data 입력
4. Confirm button 선택",Message icon 출력 확인,Message icon 출력된다
WEB,Email Verification Page,Top Area,title text,,title text 확인,"1. Sign Up Page 진입
2. Profile Data Input Page 진입
3. 유효한 Profile Data 입력
4. Confirm button 선택",title text 출력 확인,title text 출력된다
WEB,Email Verification Page,Top Area,title text,,title text stringset 확인,"1. Sign Up Page 진입
2. Profile Data Input Page 진입
3. 유효한 Profile Data 입력
4. Confirm button 선택",title text 출력 확인,"Email Verification 
text 출력된다"
WEB,Email Verification Page,Inform Area,,,Framework 확인,"1. Sign Up Page 진입
2. Profile Data Input Page 진입
3. 유효한 Profile Data 입력
4. Confirm button 선택",Framework 출력 확인,Framework 출력된다
WEB,Email Verification Page,Inform Area,,,해상도 768 이하일 시 Framework UI 확인,"1. Sign Up Page 진입
2. Profile Data Input Page 진입
3. 유효한 Profile Data 입력
4. Confirm button 선택
5. 해상도 768이하인 상태",Framework 출력 확인,Framework dimmed 처리되어 출력된다
WEB,Email Verification Page,Inform Area,sub text,,sub text 확인,"1. Sign Up Page 진입
2. Profile Data Input Page 진입
3. 유효한 Profile Data 입력
4. Confirm button 선택",sub text 출력 확인,sub text 출력된다
WEB,Email Verification Page,Inform Area,sub text,,sub text stringset 확인,"1. Sign Up Page 진입
2. Profile Data Input Page 진입
3. 유효한 Profile Data 입력
4. Confirm button 선택",sub text 출력 확인,"A verification email has been sent to
(User Email)
text 출력된다"
WEB,Email Verification Page,Inform Area,sub text,,User Email 확인,"1. Sign Up Page 진입
2. Profile Data Input Page 진입
3. 유효한 Profile Data 입력
4. Confirm button 선택",User Email 출력 확인,User Email 강조되어 출력된다
WEB,Email Verification Page,Guidance Area,1st Guidance text,,1st Guidance text 확인,"1. Sign Up Page 진입
2. Profile Data Input Page 진입
3. 유효한 Profile Data 입력
4. Confirm button 선택",1st Guidance text 출력 확인,1st Guidance text 출력된다
WEB,Email Verification Page,Guidance Area,1st Guidance text,,1st Guidance text stringset 확인,"1. Sign Up Page 진입
2. Profile Data Input Page 진입
3. 유효한 Profile Data 입력
4. Confirm button 선택",1st Guidance text 출력 확인,"Please check your inbox and follow the link to complete your registration.
text 출력된다"
WEB,Email Verification Page,Guidance Area,2nd Guidance text,,2nd Guidance text 확인,"1. Sign Up Page 진입
2. Profile Data Input Page 진입
3. 유효한 Profile Data 입력
4. Confirm button 선택",2nd Guidance text 출력 확인,2nd Guidance text 출력된다
WEB,Email Verification Page,Guidance Area,2nd Guidance text,,2nd Guidance text stringset 확인,"1. Sign Up Page 진입
2. Profile Data Input Page 진입
3. 유효한 Profile Data 입력
4. Confirm button 선택",2nd Guidance text 출력 확인,"If you did not get any mail,
text 출력된다"
WEB,Email Verification Page,Guidance Area,Resend verification mail Button,,Cool Down 시 Resend verification mail Button UI 확인,"1. Sign Up Page 진입
2. Profile Data Input Page 진입
3. 유효한 Profile Data 입력
4. Confirm button 선택
5. Verify Email Retry 대기 중인 상태",Resend verification mail Button 출력 확인,Resend verification mail Button Dimmed 처리되어 출력된다
WEB,Email Verification Page,Guidance Area,Resend verification mail Button,,Resend verification mail Button 확인,"1. Sign Up Page 진입
2. Profile Data Input Page 진입
3. 유효한 Profile Data 입력
4. Confirm button 선택",Resend verification mail Button 출력 확인,Resend verification mail Button 출력된다
WEB,Email Verification Page,Guidance Area,Resend verification mail Button,,Resend verification mail stringset 확인,"1. Sign Up Page 진입
2. Profile Data Input Page 진입
3. 유효한 Profile Data 입력
4. Confirm button 선택",Resend verification mail Button 출력 확인,"Resend verification mail 
text 출력된다"
WEB,Email Verification Page,Guidance Area,Resend verification mail Button,,Resend verification mail Button UI 확인,"1. Sign Up Page 진입
2. Profile Data Input Page 진입
3. 유효한 Profile Data 입력
4. Confirm button 선택",Resend verification mail text 확인,Underline 처리된 Resend verification mail 강조되어 출력된다
WEB,Email Verification Page,Guidance Area,Resend verification mail Button,,Resend verification mail Button 기능 확인,"1. Sign Up Page 진입
2. Profile Data Input Page 진입
3. 유효한 Profile Data 입력
4. Confirm button 선택",Resend verification mail Button 선택,General Rule 따라서 동작한다
WEB,Email Verification Page,Guidance Area,3rd Guidance text,,3rd Guidance text 확인,"1. Sign Up Page 진입
2. Profile Data Input Page 진입
3. 유효한 Profile Data 입력
4. Confirm button 선택",3rd Guidance text 출력 확인,3rd Guidance text 출력된다
WEB,Email Verification Page,Guidance Area,3rd Guidance text,,3rd Guidance text stringset 확인,"1. Sign Up Page 진입
2. Profile Data Input Page 진입
3. 유효한 Profile Data 입력
4. Confirm button 선택",3rd Guidance text 출력 확인,"If you have any other questions, please reach out to our Help Center.
text 출력된다"
WEB,Email Verification Page,Guidance Area,3rd Guidance text,,3rd Guidance text UI 확인,"1. Sign Up Page 진입
2. Profile Data Input Page 진입
3. 유효한 Profile Data 입력
4. Confirm button 선택",3rd Guidance text 출력 확인,3rd Guidance text dimmed 처리되어 출력된다
WEB,Email Verification Page,Verify Email,,,Email Verify 완료 시 동작 확인,"1. Sign Up Page 진입
2. Profile Data Input Page 진입
3. 유효한 Profile Data 입력
4. Confirm button 선택",Email Verify 절차 완료,Welcome To KOCOWA Page 진입된다
WEB,Welcome To KOCOWA Page,Header Area,,#NAME?,KOCOWA logo image 확인,"1. Sign Up Page 진입
2. 유효한 계정 정보 입력
3. Next Button 선택
4. 유효한 Profile Data 입력
5. Confirm Button 선택",KOCOWA logo image 출력 확인,KOCOWA logo image 출력된다
WEB,Welcome To KOCOWA Page,Header Area,,#NAME?,KOCOWA logo image 기능 확인,"1. Sign Up Page 진입
2. 유효한 계정 정보 입력
3. Next Button 선택
4. 유효한 Profile Data 입력
5. Confirm Button 선택",KOCOWA logo image 선택,Multi-Profile Main Page 진입된다
WEB,Welcome To KOCOWA Page,Header Area,,#NAME?,Home text Button 기능 확인,"1. Sign Up Page 진입
2. 유효한 계정 정보 입력
3. Next Button 선택
4. 유효한 Profile Data 입력
5. Confirm Button 선택",Home text Button 선택,Multi-Profile Main Page 진입된다
WEB,Welcome To KOCOWA Page,Header Area,,#NAME?,Language icon 확인,"1. Sign Up Page 진입
2. 유효한 계정 정보 입력
3. Next Button 선택
4. 유효한 Profile Data 입력
5. Confirm Button 선택",Language icon 출력 확인,지구본 형태의 Language icon 출력된다
WEB,Welcome To KOCOWA Page,Header Area,,#NAME?,Language icon Hover 시 동작 확인,"1. Sign Up Page 진입
2. 유효한 계정 정보 입력
3. Next Button 선택
4. 유효한 Profile Data 입력
5. Confirm Button 선택",Language icon Hover,Language Dropdown Menu 출력된다
WEB,Welcome To KOCOWA Page,Header Area,,#NAME?,Sign Out text Button 기능 확인,"1. Sign Up Page 진입
2. 유효한 계정 정보 입력
3. Next Button 선택
4. 유효한 Profile Data 입력
5. Confirm Button 선택",Sign Out text Button 선택,Sign Out POP UP 출력된다
WEB,Welcome To KOCOWA Page,Header Area,,#NAME?,Header Area 상단 Fix 확인,"1. Sign Up Page 진입
2. 유효한 계정 정보 입력
3. Next Button 선택
4. 유효한 Profile Data 입력
5. Confirm Button 선택",Scroll Down,Header Area 상단 고정되어 출력된다
WEB,Welcome To KOCOWA Page,User Data Area,,#NAME?,Background image 확인,"1. Sign Up Page 진입
2. 유효한 계정 정보 입력
3. Next Button 선택
4. 유효한 Profile Data 입력
5. Confirm Button 선택",Background image 출력 확인,Background image 출력된다
WEB,Welcome To KOCOWA Page,User Data Area,,#NAME?,User Email Address 확인,"1. Sign Up Page 진입
2. 유효한 계정 정보 입력
3. Next Button 선택
4. 유효한 Profile Data 입력
5. Confirm Button 선택",User Email Address 출력 확인,User Email Address 출력된다
WEB,Welcome To KOCOWA Page,User Data Area,,#NAME?,SUBSCRIBE Button 기능 확인,"1. Sign Up Page 진입
2. 유효한 계정 정보 입력
3. Next Button 선택
4. 유효한 Profile Data 입력
5. Confirm Button 선택",SUBSCRIBE Button 선택,PLAN Page 진입된다
WEB,Welcome To KOCOWA Page,User Data Area,,#NAME?,Service Home text Button 기능 확인,"1. Sign Up Page 진입
2. 유효한 계정 정보 입력
3. Next Button 선택
4. 유효한 Profile Data 입력
5. Confirm Button 선택",Service Home text Button 선택,Multi-Profile Main Page 진입된다
WEB,Category List Area,Header Area,,#NAME?,Switch Button 출력 확인,"1. PLAN Page 진입
2. Promotion Event 적용 중인 경우",Switch Button 출력 확인,결제 Switch Button 출력된다
WEB,Category List Area,Header Area,,#NAME?,Standard 출력 확인,"1. PLAN Page 진입
2. Promotion Event 적용 중인 경우",Standard 출력 확인,Standard 출력된다
WEB,Category List Area,Header Area,,#NAME?,Standard 기능 확인,"1. PLAN Page 진입
2. Promotion Event 적용 중인 경우",Standard Switch 선택,Standard 로 결제 상품 출력된다
WEB,Category List Area,Header Area,,#NAME?,Promotion 출력 확인,"1. PLAN Page 진입
2. Promotion Event 적용 중인 경우",Promotion 출력 확인,Promotion 출력된다
WEB,Category List Area,Header Area,,#NAME?,Promotion 기능 확인,"1. PLAN Page 진입
2. Promotion Event 적용 중인 경우",Promotion Switch 선택,Promotion 로 결제 상품 출력된다
WEB,Subscribe Page,Top Area,,,title text 확인,"1. KOCOWA Webpage 진입
2. Subscribe Page 진입",title text 출력 확인,title text 출력된다
WEB,Subscribe Page,Top Area,,,title text stringset 확인,"1. KOCOWA Webpage 진입
2. Subscribe Page 진입",title text 출력 확인,"""Subscribe"" text 출력된다"
WEB,Subscribe Page,Top Area,,,Division Line 확인,"1. KOCOWA Webpage 진입
2. Subscribe Page 진입",Division Line 출력 확인,구분선 형태의 Division Line 출력된다
WEB,Subscribe Page,Select your Plan Area,,,title text 확인,"1. KOCOWA Webpage 진입
2. Subscribe Page 진입",title text 출력 확인,title text 출력된다
WEB,Subscribe Page,Select your Plan Area,,,title text stringset 확인,"1. KOCOWA Webpage 진입
2. Subscribe Page 진입",title text 출력 확인,"""Select your Plan"" text 출력된다"
WEB,Subscribe Page,Select your Plan Area,,,sub text 확인,"1. KOCOWA Webpage 진입
2. Subscribe Page 진입",sub text 출력 확인,sub text 출력된다
WEB,Subscribe Page,Select your Plan Area,,,sub text stringset 확인,"1. KOCOWA Webpage 진입
2. Subscribe Page 진입",sub text 출력 확인,"""Subscribe to get priority access to over 40,000 hours of the best Korean Dramas,
TV Shows, Movies, and Webcomics with premium subtitles."" text 출력된다"
WEB,Subscribe Page,Select your Plan Area,Basic Subscription Section,,Rectangle 확인,"1. KOCOWA Webpage 진입
2. Subscribe Page 진입",Rectangle 출력 확인,Grey Colored Rectangle 출력된다
WEB,Subscribe Page,Select your Plan Area,Basic Subscription Section,,type icon 확인,"1. KOCOWA Webpage 진입
2. Subscribe Page 진입",type icon 확인,type icon 확인
WEB,Subscribe Page,Select your Plan Area,Basic Subscription Section,,type icon stringset 확인,"1. KOCOWA Webpage 진입
2. Subscribe Page 진입",type icon 확인,"""Unlimited contents"" text 출력된다"
WEB,Subscribe Page,Select your Plan Area,Basic Subscription Section,,title text 확인,"1. KOCOWA Webpage 진입
2. Subscribe Page 진입",title text 출력 확인,title text 출력된다
WEB,Subscribe Page,Select your Plan Area,Basic Subscription Section,,title text stringset 확인,"1. KOCOWA Webpage 진입
2. Subscribe Page 진입",title text 출력 확인,"""Basic"" text 출력된다"
WEB,Subscribe Page,Select your Plan Area,Basic Subscription Section,,sub text 확인,"1. KOCOWA Webpage 진입
2. Subscribe Page 진입",sub text 출력 확인,sub text 출력된다
WEB,Subscribe Page,Select your Plan Area,Basic Subscription Section,,sub text stringset 확인,"1. KOCOWA Webpage 진입
2. Subscribe Page 진입",sub text 출력 확인,"""Enjoy your favorite shows at the best price!"" text 출력된다"
WEB,Subscribe Page,Select your Plan Area,Premium Subscription Section,,Rectangle 확인,"1. KOCOWA Webpage 진입
2. Subscribe Page 진입",Rectangle 출력 확인,Grey Colored Rectangle 출력된다
WEB,Subscribe Page,Select your Plan Area,Premium Subscription Section,,type icon 확인,"1. KOCOWA Webpage 진입
2. Subscribe Page 진입",type icon 확인,type icon 확인
WEB,Subscribe Page,Select your Plan Area,Premium Subscription Section,,type icon stringset 확인,"1. KOCOWA Webpage 진입
2. Subscribe Page 진입",type icon 확인,"""Download & Offline Playback"" text 출력된다"
WEB,Subscribe Page,Select your Plan Area,Premium Subscription Section,,title text 확인,"1. KOCOWA Webpage 진입
2. Subscribe Page 진입",title text 출력 확인,title text 출력된다
WEB,Subscribe Page,Select your Plan Area,Premium Subscription Section,,title text stringset 확인,"1. KOCOWA Webpage 진입
2. Subscribe Page 진입",title text 출력 확인,"""Premium"" text 출력된다"
WEB,Subscribe Page,Select your Plan Area,Premium Subscription Section,,sub text 확인,"1. KOCOWA Webpage 진입
2. Subscribe Page 진입",sub text 출력 확인,sub text 출력된다
WEB,Subscribe Page,Select your Plan Area,Premium Subscription Section,,sub text stringset 확인,"1. KOCOWA Webpage 진입
2. Subscribe Page 진입",sub text 출력 확인,"""Stream on up to 4 devices - Perfect for families!"" text 출력된다"
WEB,Subscribe Page,Select your Plan Area,Information Section,,Bullet Point 확인,1. Subscribe Page 진입,Bullet Point 출력 확인,Bullet Point 출력된다
WEB,Subscribe Page,Select your Plan Area,Information Section,,Guideline Information text 확인,1. Subscribe Page 진입,Guideline Information text 출력 확인,Guideline Information text 출력된다
WEB,Subscribe Page,Select your Plan Area,Information Section,,Guideline Information text stringset 확인,1. Subscribe Page 진입,Guideline Information text 출력 확인,"""Guideline for the Upgrade Plan & Downgrade Plan"" text 출력된다"
WEB,Subscribe Page,Select your Plan Area,Information Section,,Guideline text Button 선택 시 동작 확인,1. Subscribe Page 진입,Guideline text Button 선택,How to upgrade your subscription Article 진입된다
WEB,Subscribe Page,Select your Plan Area,Information Section,,Guideline text Button 기능 확인,1. Subscribe Page 진입,Guideline text Button 선택,Help Center Page 진입된다
WEB,Subscribe Page,Select your Plan Area,Information Section,,Coupon Information text 확인,1. Subscribe Page 진입,Coupon Information text 출력 확인,Coupon Information text 출력된다
WEB,Subscribe Page,Select your Plan Area,Information Section,,Coupon Information text stringset 확인,1. Subscribe Page 진입,Coupon Information text 출력 확인,"""Coupons are available for use at the checkout stage."" text 출력된다"
WEB,Subscribe Page,Select your Plan Area,Information Section,,Coupon Information text 출력 여부 확인,"1. Subscribe Page 진입
2. 미로그인 상태",Coupon Information text 출력 확인,Coupon Information text 출력되지 않는다
WEB,Subscribe Page,Select your Plan Area,Information Section,,Premium Pass Information text 확인,1. Subscribe Page 진입,Premium Pass Information text 출력 확인,"""The Premium Pass is available for use here"" text 출력된다"
WEB,Subscribe Page,Select your Plan Area,Information Section,,here text Button 확인,1. Subscribe Page 진입,here text Button 출력 확인,here text Button 출력된다
WEB,Subscribe Page,Select your Plan Area,Information Section,,here text Button stringset 확인,1. Subscribe Page 진입,here text Button 출력 확인,"""here"" text 출력된다"
WEB,Subscribe Page,Select your Plan Area,Information Section,,here text Button 기능 확인,1. Subscribe Page 진입,here text Button 선택,Premium Pass Page 진입된다
WEB,Subscribe Page,Select your Plan Area,Information Section,,free trial Inform text 확인,1. Subscribe Page 진입,free trial Inform text 출력 확인,free trial Inform text 출력된다
WEB,Subscribe Page,Select your Plan Area,Information Section,,free trial Inform text stringset 확인,1. Subscribe Page 진입,free trial Inform text 출력 확인,"After the free trial ends, it will automatically convert to a paid subscription. If you cancel your subscription before the end of free trial, you won't be charged with any fees. text 출력된다."
WEB,Subscribe Page,Basic Subscription Section,Benefit Guidance Section,,Face icon 확인,"1. KOCOWA Webpage 진입
2. Subscribe Page 진입",Face icon 출력 확인,Face icon 출력된다
WEB,Subscribe Page,Basic Subscription Section,Benefit Guidance Section,,Single Profile text 확인,"1. KOCOWA Webpage 진입
2. Subscribe Page 진입",Single Profile text 출력 확인,Single Profile text 출력된다
WEB,Subscribe Page,Basic Subscription Section,Benefit Guidance Section,,Single Profile text stringset 확인,"1. KOCOWA Webpage 진입
2. Subscribe Page 진입",Single Profile text 출력 확인,"""Single Profile"" text 출력된다"
WEB,Subscribe Page,Basic Subscription Section,Benefit Guidance Section,,Recycle icon 확인,"1. KOCOWA Webpage 진입
2. Subscribe Page 진입",Recycle icon 출력 확인,Recycle icon 출력된다
WEB,Subscribe Page,Basic Subscription Section,Benefit Guidance Section,,Auto Renewal text 확인,"1. KOCOWA Webpage 진입
2. Subscribe Page 진입",Auto Renewal text 출력 확인,Auto Renewal text 출력된다
WEB,Subscribe Page,Basic Subscription Section,Benefit Guidance Section,,Auto Renewal text stringset 확인,"1. KOCOWA Webpage 진입
2. Subscribe Page 진입",Auto Renewal text 출력 확인,"""Hassle-Free Automatic Renewal"" text 출력된다"
WEB,Subscribe Page,Basic Subscription Section,Benefit Guidance Section,,Bolt icon 확인,"1. KOCOWA Webpage 진입
2. Subscribe Page 진입",Bolt icon 출력 확인,Bolt icon 출력된다
WEB,Subscribe Page,Basic Subscription Section,Benefit Guidance Section,,Unlimited content text 확인,"1. KOCOWA Webpage 진입
2. Subscribe Page 진입",Unlimited content text 출력 확인,Unlimited content text 출력된다
WEB,Subscribe Page,Basic Subscription Section,Benefit Guidance Section,,Unlimited content text stringset 확인,"1. KOCOWA Webpage 진입
2. Subscribe Page 진입",Unlimited content text 출력 확인,"""Unlimited Dramas, TV Shows, and Webcomics"" text 출력된다"
